species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
chinstrap,Dream,50.2,18.8,202.0,3800.0,Male
,Dream,45.6,,194.0,3525.0,Female
chintrap,Dream,51.9,19.5,206.0,3950.0,
chintrap,Dream,46.8,16.5,189.0,3650.0,Female
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female
chinstrap,Dream,55.8,19.8,207.0,4000.0,Male
Chinstrap,Dream,43.5,,202.0,3400.0,Female
Chinstrap,,49.6,18.2,193.0,3775.0,Male
,Dream,50.8,,210.0,4100.0,Male
chintrap,Dream,50.2,18.7,198.0,3775.0,Female
Gentoo,Biscoe,,13.2,211.0,4500.0,Female
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male
gento,Biscoe,48.7,14.1,210.0,,Female
gento,Biscoe,50.0,15.2,218.0,5700.0,Male
gentoo,,47.6,,215.0,5400.0,Male
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female
gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male
gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female
gento,Biscoe,46.8,15.4,215.0,5150.0,Male
gento,Biscoe,40.9,13.7,214.0,4650.0,Female
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,
gentoo,,,13.7,214.0,4650.0,
,Biscoe,48.4,14.6,213.0,,Male
gento,,45.8,14.6,210.0,4200.0,Female
gentoo,Biscoe,49.3,15.7,217.0,5850.0,
,Biscoe,42.0,13.5,210.0,4150.0,Female
gentoo,,49.2,15.2,221.0,,Male
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female
,Biscoe,48.7,15.1,222.0,5350.0,Male
gento,Biscoe,50.2,14.3,218.0,5700.0,
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female
gento,Biscoe,46.5,,213.0,4400.0,Female
gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male
gento,Biscoe,42.9,,215.0,5000.0,Female
gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male
Gentoo,Biscoe,,14.3,210.0,4600.0,Female
Gentoo,Biscoe,50.0,,220.0,5550.0,Male
gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male
gento,Biscoe,42.8,14.2,209.0,4700.0,
gento,Biscoe,,14.5,207.0,5050.0,Female
gento,Biscoe,59.6,17.0,230.0,6050.0,
gentoo,,49.1,14.8,220.0,5150.0,Female
gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male
gento,Biscoe,42.6,13.7,213.0,4950.0,
gento,Biscoe,44.4,17.3,219.0,5250.0,Male
gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female
gento,Biscoe,48.7,15.7,208.0,5350.0,Male
gento,Biscoe,42.7,13.7,208.0,3950.0,Female
gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male
gento,Biscoe,45.3,13.7,210.0,4300.0,
gentoo,Biscoe,,15.0,,,Male
gento,Biscoe,50.5,15.9,222.0,5550.0,Male
,Biscoe,43.6,13.9,217.0,4900.0,Female
gento,Biscoe,45.5,13.9,210.0,4200.0,Female
gentoo,Biscoe,,15.9,225.0,5400.0,Male
gento,Biscoe,44.9,13.3,213.0,5100.0,Female
gento,Biscoe,45.2,15.8,215.0,5300.0,Male
,Biscoe,46.6,14.2,210.0,4850.0,Female
gentoo,Biscoe,48.5,,220.0,,Male
gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female
gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male
gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female
gentoo,Biscoe,,15.4,220.0,5050.0,Male
gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female
Gentoo,Biscoe,45.5,15.0,,5000.0,Male
gentoo,Biscoe,,14.5,208.0,4450.0,Female
gento,Biscoe,50.4,15.3,224.0,5550.0,Male
Gentoo,,45.3,13.8,208.0,4200.0,Female
gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male
gento,,45.7,13.9,214.0,4400.0,Female
gento,Biscoe,,15.7,231.0,,Male
gento,Biscoe,45.8,14.2,219.0,4700.0,Female
gentoo,Biscoe,,16.8,230.0,,Male
gento,Biscoe,46.2,,214.0,4650.0,
gento,Biscoe,49.5,16.2,229.0,5800.0,Male
gentoo,Biscoe,,14.2,220.0,4700.0,Female
gento,Biscoe,50.7,15.0,223.0,,Male
gentoo,Biscoe,,15.0,216.0,4750.0,Female
Gentoo,Biscoe,46.4,15.6,221.0,,Male
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male
gentoo,,46.5,14.8,217.0,5200.0,Female
Gentoo,Biscoe,46.4,15.0,216.0,,Female
gento,Biscoe,48.6,16.0,230.0,,Male
Gentoo,,47.5,14.2,209.0,4600.0,Female
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female
Gentoo,Biscoe,52.5,15.6,,5450.0,Male
gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female
gentoo,Biscoe,50.0,15.9,224.0,5350.0,
gentoo,Biscoe,44.9,13.8,212.0,,
Gentoo,Biscoe,50.8,17.3,,5600.0,Male
gento,Biscoe,43.4,14.4,218.0,4600.0,
Gentoo,,51.3,,218.0,5300.0,Male
gento,Biscoe,47.5,,212.0,4875.0,Female
gento,Biscoe,,17.0,230.0,5550.0,Male
,Biscoe,47.5,,218.0,4950.0,Female
gento,Biscoe,52.2,17.1,228.0,5400.0,Male
gentoo,,45.5,14.5,212.0,4750.0,Female
gento,,49.5,16.1,,5650.0,Male
Gentoo,Biscoe,,14.7,214.0,4850.0,Female
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male
gentoo,Biscoe,nan,15.8,216.0,4925.0,
Gentoo,Biscoe,,14.6,222.0,4875.0,Female
gento,Biscoe,48.4,,203.0,4625.0,Female
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male
gento,Biscoe,48.5,15.0,219.0,4850.0,
gento,Biscoe,55.9,17.0,228.0,5600.0,Male
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female
gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male
,Biscoe,47.3,13.8,216.0,4725.0,
gentoo,Biscoe,46.8,16.1,215.0,5500.0,
Gentoo,,41.7,14.7,210.0,4700.0,Female
Gentoo,Biscoe,53.4,15.8,nan,5500.0,Male
,Biscoe,43.3,,208.0,4575.0,Female
gento,Biscoe,,15.1,209.0,5500.0,Male
Gentoo,,50.5,15.2,216.0,5000.0,Female
gento,Biscoe,49.8,,229.0,5950.0,Male
Gentoo,Biscoe,,15.2,213.0,4650.0,Female
,Biscoe,51.5,16.3,230.0,,Male
,Biscoe,46.2,14.1,217.0,4375.0,Female
gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male
gentoo,,47.2,13.7,214.0,4925.0,Female
,Biscoe,,,,,
gento,Biscoe,46.8,14.3,215.0,4850.0,Female
gento,Biscoe,50.4,15.7,222.0,5750.0,Male
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female
gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male
